epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2186.66,1.0502,0.85446,0.0099,0.67689,0.84519,0.80978,0.59624,0.97983,0.64053,0.01422,0.000990365,0.000990365,0.000990365
43,2238.72,1.0338,0.84161,0.00984,0.672,0.87315,0.81279,0.58319,1.01177,0.62007,0.01522,0.000973861,0.000973861,0.000973861
44,2290.97,1.03055,0.82592,0.00971,0.6818,0.79387,0.79787,0.58278,0.98335,0.68794,0.01433,0.000957358,0.000957358,0.000957358
45,2343.14,1.0121,0.81993,0.00967,0.69985,0.81068,0.82365,0.60774,0.9619,0.61016,0.01395,0.000940855,0.000940855,0.000940855
46,2395.29,1.01209,0.8099,0.00949,0.71467,0.77998,0.81265,0.60105,0.95373,0.6227,0.01408,0.000924352,0.000924352,0.000924352
47,2447.44,1.01681,0.80872,0.00955,0.71435,0.8329,0.82265,0.6133,0.94761,0.59769,0.01386,0.000907848,0.000907848,0.000907848
48,2499.6,1.00499,0.80447,0.00952,0.69414,0.83555,0.82589,0.61221,0.95161,0.6132,0.01386,0.000891345,0.000891345,0.000891345
49,2552.02,1.00396,0.80408,0.00938,0.69786,0.82883,0.81944,0.61313,0.93381,0.59845,0.01361,0.000874842,0.000874842,0.000874842
50,2604.09,0.99865,0.81261,0.00948,0.69615,0.85449,0.82793,0.61412,0.95707,0.59601,0.01409,0.000858338,0.000858338,0.000858338
51,2656.31,0.99111,0.77854,0.00928,0.69336,0.83463,0.82958,0.6154,0.95908,0.60355,0.01401,0.000841835,0.000841835,0.000841835
52,2708.35,0.99052,0.77852,0.00925,0.68573,0.85071,0.8267,0.60845,0.94135,0.61309,0.01376,0.000825332,0.000825332,0.000825332
53,2760.49,0.98286,0.77895,0.00902,0.69174,0.85364,0.8248,0.61184,0.93703,0.60037,0.01381,0.000808828,0.000808828,0.000808828
54,2812.69,0.97152,0.77868,0.00917,0.6846,0.84507,0.8267,0.61378,0.94497,0.59533,0.01372,0.000792325,0.000792325,0.000792325
55,2864.82,0.97903,0.76824,0.0092,0.6893,0.85882,0.82533,0.60824,0.94175,0.60868,0.01369,0.000775822,0.000775822,0.000775822
56,2916.97,0.96723,0.77531,0.0089,0.66736,0.84514,0.80997,0.60196,0.95073,0.61503,0.01384,0.000759318,0.000759318,0.000759318
57,2968.97,0.97277,0.74917,0.00905,0.67342,0.88442,0.83548,0.62755,0.92876,0.58431,0.0136,0.000742815,0.000742815,0.000742815
58,3021.12,0.94464,0.73985,0.00881,0.69162,0.84401,0.82418,0.61018,0.95204,0.62267,0.01397,0.000726312,0.000726312,0.000726312
59,3073.28,0.94434,0.74836,0.00884,0.68237,0.86382,0.83595,0.62034,0.93779,0.59407,0.01361,0.000709809,0.000709809,0.000709809
60,3125.29,0.95905,0.75058,0.00896,0.71286,0.86838,0.83917,0.62673,0.93677,0.58117,0.01368,0.000693305,0.000693305,0.000693305
61,3177.44,0.96298,0.76743,0.00886,0.69004,0.86802,0.84143,0.63837,0.91405,0.56233,0.01319,0.000676802,0.000676802,0.000676802
62,3229.5,0.94881,0.75414,0.00883,0.71548,0.85185,0.8456,0.63063,0.93602,0.58198,0.01364,0.000660299,0.000660299,0.000660299
63,3281.67,0.93603,0.72916,0.0088,0.69526,0.86812,0.84507,0.63333,0.92219,0.58675,0.01363,0.000643795,0.000643795,0.000643795
64,3333.77,0.9405,0.735,0.00877,0.69926,0.85917,0.83009,0.63117,0.91334,0.60025,0.0133,0.000627292,0.000627292,0.000627292
65,3385.79,0.93186,0.73246,0.0087,0.71107,0.83815,0.84031,0.63711,0.91204,0.60861,0.01341,0.000610789,0.000610789,0.000610789
66,3437.73,0.9411,0.72899,0.00878,0.68345,0.86073,0.83953,0.63251,0.92109,0.59078,0.01352,0.000594286,0.000594286,0.000594286
67,3489.82,0.92339,0.71399,0.0085,0.72603,0.83739,0.84686,0.64384,0.90855,0.58564,0.01329,0.000577782,0.000577782,0.000577782
68,3541.77,0.91665,0.72662,0.00845,0.71128,0.84921,0.84641,0.64164,0.90445,0.58588,0.01325,0.000561279,0.000561279,0.000561279
69,3593.67,0.90662,0.69685,0.00836,0.72987,0.8332,0.84686,0.64193,0.90838,0.57861,0.01341,0.000544776,0.000544776,0.000544776
